timestamp,U1PosX, U1PosY, U1PosZ,U1HeadPosX, U1HeadPosY, U1HeadPosZ,U1HeadForwardX, U1HeadForwardY, U1HeadForwardZ,U1HeadUpX, U1HeadUpY, U1HeadUpZ,U1HeadCone,U1LeftEyeX,U1LeftEyeY,U1LeftEyeZ,U1RightEyeX,U1RightEyeY,U1RightEyeZ,U1GazeX,U1GazeY,U1GazeZ,U1ControllerRPosX, U1ControllerRPosY, U1ControllerRPosZ,U1ControllerREAngX, U1ControllerREAngY,  U1ControllerREAngZ,U1ControllerLPosX, U1ControllerLPosY, U1ControllerLPosZ,U1ControllerLEAngX, U1ControllerLEAngY,  U1ControllerLEAngZ,U1PointerX, U1PointerY,  U1PointerZ,U2Speech,U2PosX, U1PosY, U1PosZ,U2HeadPosX, U2HeadPosY, U2HeadPosZ,U2HeadForwardX, U2HeadForwardY, U2HeadForwardZ,U2HeadUpX, U2HeadUpY, U2HeadUpZ,U2HeadCone,U2LeftEyeX,U2LeftEyeY,U2LeftEyeZ,U2RightEyeX,U2RightEyeY,U2RightEyeZ,U2GazeX,U2GazeY,U2GazeZ,U2ControllerRPosX, U2ControllerRPosY, U2ControllerRPosZ,U2ControllerREAngX, U2ControllerREAngY,  U2ControllerREAngZ,U2ControllerLPosX, U2ControllerLPosY, U2ControllerLPosZ,U2ControllerLEAngX, U2ControllerLEAngY,  U2ControllerLEAngZ,U2PointerX, U2PointerY,  U2PointerZ,U2Speech
0.000,0.000, 0.000, 0.000,0.029, 1.676, -0.049,-0.617, -0.209, 0.759,-0.130, 0.978, 0.164,,-0.127, 0.973, 0.194,-0.127, 0.973, 0.194,-1.701, 1.635, 2.503,0.025, 1.342, 0.415,4.192, 336.880, 91.650,-0.155, 1.319, 0.350,2.593, 359.304, 279.713,null,null,null,everybody's shity intro,0.000, 0.000, 0.000,0.000, 1.414, -0.078,0.000, 0.022, 1.000,-0.021, 1.000, -0.022,,0.000, 1.000, 0.000,0.000, 1.000, 0.000,-0.590, 1.482, 2.973,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,null,null,null,
0.957,0.000, 0.000, 0.000,0.029, 1.676, -0.049,-0.617, -0.209, 0.759,-0.130, 0.978, 0.164,,-0.127, 0.973, 0.194,-0.127, 0.973, 0.194,-2.297, 1.179, 1.907,0.025, 1.342, 0.415,4.192, 336.880, 91.650,-0.155, 1.319, 0.350,2.593, 359.304, 279.714,null,null,null,,0.000, 0.000, 0.000,0.000, 1.414, -0.078,0.000, 0.022, 1.000,-0.021, 1.000, -0.022,,0.000, 1.000, 0.000,0.000, 1.000, 0.000,-0.897, 1.197, 2.973,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,0.000, 0.000, 0.000,null,null,null,
0.981,0.000, 0.000, 0.000,0.031, 1.677, -0.048,-0.616, -0.214, 0.758,-0.135, 0.977, 0.165,,-0.132, 0.972, 0.196,-0.132, 0.972, 0.195,-2.297, 1.179, 1.907,0.025, 1.342, 0.415,4.185, 336.885, 91.731,-0.155, 1.319, 0.350,2.505, 359.366, 279.848,null,null,null,,0.000, 0.000, 0.000,0.050, 1.171, -0.060,-0.006, 0.032, 0.999,0.043, 0.999, -0.032,,0.064, 0.998, -0.010,0.064, 0.998, -0.010,-0.897, 1.197, 2.973,-0.038, 0.672, 0.161,47.398, 45.389, 6.157,0.023, 0.715, 0.120,48.621, 317.966, 82.387,null,null,null,
0.993,0.000, 0.000, 0.000,0.031, 1.677, -0.048,-0.615, -0.214, 0.759,-0.135, 0.977, 0.166,,-0.132, 0.972, 0.196,-0.132, 0.972, 0.196,-2.297, 1.179, 1.907,0.025, 1.342, 0.415,4.184, 336.886, 91.734,-0.155, 1.319, 0.350,2.499, 359.369, 279.850,null,null,null,,0.000, 0.000, 0.000,0.054, 1.171, -0.080,-0.123, 0.060, 0.991,0.022, 0.998, -0.058,,0.041, 0.999, -0.033,0.041, 0.999, -0.033,-0.897, 1.197, 2.973,-0.038, 0.672, 0.161,47.304, 45.255, 5.903,0.025, 0.716, 0.116,48.545, 318.256, 82.590,null,null,null,
1.001,0.000, 0.000, 0.000,0.031, 1.677, -0.048,-0.615, -0.214, 0.759,-0.135, 0.977, 0.166,,-0.132, 0.972, 0.196,-0.132, 0.972, 0.196,-2.297, 1.179, 1.907,0.025, 1.342, 0.415,4.183, 336.885, 91.737,-0.155, 1.319, 0.350,2.498, 359.370, 279.856,null,null,null,,0.000, 0.000, 0.000,0.054, 1.171, -0.080,-0.123, 0.059, 0.991,0.023, 0.998, -0.057,,0.041, 0.999, -0.032,0.041, 0.999, -0.032,-0.897, 1.197, 2.973,-0.038, 0.672, 0.161,47.302, 45.270, 5.917,0.025, 0.716, 0.115,48.550, 318.272, 82.588,null,null,null,
1.009,0.000, 0.000, 0.000,0.031, 1.677, -0.048,-0.614, -0.214, 0.760,-0.135, 0.977, 0.166,,-0.132, 0.972, 0.196,-0.132, 0.972, 0.195,-2.297, 1.179, 1.907,0.025, 1.342, 0.415,4.184, 336.885, 91.739,-0.155, 1.319, 0.350,2.497, 359.371, 279.863,null,null,null,,0.000, 0.000, 0.000,0.055, 1.171, -0.081,-0.123, 0.058, 0.991,0.023, 0.998, -0.055,,0.042, 0.999, -0.031,0.042, 0.999, -0.031,-0.897, 1.197, 2.973,-0.038, 0.672, 0.161,47.301, 45.274, 5.921,0.025, 0.716, 0.115,48.553, 318.286, 82.597,null,null,null,
1.017,0.000, 0.000, 0.000,0.031, 1.677, -0.048,-0.614, -0.214, 0.760,-0.135, 0.977, 0.166,,-0.132, 0.972, 0.196,-0.132, 0.972, 0.195,-2.297, 1.179, 1.907,0.025, 1.342, 0.415,4.184, 336.885, 91.739,-0.155, 1.319, 0.350,2.497, 359.371, 279.863,null,null,null,,0.000, 0.000, 0.000,0.055, 1.171, -0.081,-0.123, 0.056, 0.991,0.024, 0.998, -0.053,,0.042, 0.999, -0.029,0.042, 0.999, -0.029,-0.897, 1.197, 2.973,-0.038, 0.672, 0.161,47.297, 45.270, 5.912,0.026, 0.716, 0.115,48.559, 318.306, 82.614,null,null,null,
1.025,0.000, 0.000, 0.000,0.031, 1.677, -0.048,-0.614, -0.214, 0.760,-0.135, 0.977, 0.166,,-0.132, 0.972, 0.196,-0.132, 0.972, 0.195,-2.297, 1.179, 1.907,0.025, 1.342, 0.415,4.184, 336.885, 91.739,-0.155, 1.319, 0.350,2.497, 359.371, 279.863,null,null,null,,0.000, 0.000, 0.000,0.055, 1.171, -0.081,-0.123, 0.056, 0.991,0.024, 0.998, -0.053,,0.042, 0.999, -0.029,0.042, 0.999, -0.029,-0.897, 1.197, 2.973,-0.038, 0.672, 0.161,47.297, 45.270, 5.912,0.026, 0.716, 0.115,48.559, 318.306, 82.614,null,null,null,
1.033,0.000, 0.000, 0.000,0.031, 1.677, -0.048,-0.614, -0.214, 0.760,-0.135, 0.977, 0.166,,-0.132, 0.972, 0.196,-0.132, 0.972, 0.195,-2.297, 1.179, 1.907,0.025, 1.342, 0.415,4.184, 336.885, 91.739,-0.155, 1.319, 0.350,2.497, 359.371, 279.863,null,null,null,,0.000, 0.000, 0.000,0.055, 1.171, -0.081,-0.123, 0.056, 0.991,0.024, 0.998, -0.053,,0.042, 0.999, -0.029,0.042, 0.999, -0.029,-0.897, 1.197, 2.973,-0.038, 0.672, 0.161,47.297, 45.270, 5.912,0.026, 0.716, 0.115,48.559, 318.306, 82.614,null,null,null,
1.041,0.000, 0.000, 0.000,0.031, 1.677, -0.048,-0.614, -0.214, 0.760,-0.135, 0.977, 0.166,,-0.132, 0.972, 0.196,-0.132, 0.972, 0.195,-2.296, 1.181, 1.908,0.025, 1.342, 0.415,4.184, 336.885, 91.739,-0.155, 1.319, 0.350,2.497, 359.371, 279.863,null,null,null,,0.000, 0.000, 0.000,0.055, 1.171, -0.081,-0.123, 0.056, 0.991,0.024, 0.998, -0.053,,0.042, 0.999, -0.029,0.042, 0.999, -0.029,-0.750, 1.161, 2.973,-0.038, 0.672, 0.161,47.297, 45.270, 5.912,0.026, 0.716, 0.115,48.559, 318.306, 82.614,null,null,null,
1.049,0.000, 0.000, 0.000,0.031, 1.677, -0.048,-0.614, -0.213, 0.760,-0.135, 0.977, 0.165,,-0.132, 0.972, 0.195,-0.132, 0.972, 0.195,-2.296, 1.181, 1.908,0.025, 1.342, 0.415,4.182, 336.885, 91.743,-0.155, 1.319, 0.350,2.493, 359.374, 279.869,null,null,null,,0.000, 0.000, 0.000,0.055, 1.171, -0.082,-0.123, 0.054, 0.991,0.024, 0.998, -0.051,,0.042, 0.999, -0.027,0.042, 0.999, -0.027,-0.750, 1.161, 2.973,-0.038, 0.672, 0.161,47.291, 45.271, 5.906,0.026, 0.716, 0.115,48.563, 318.342, 82.643,null,null,null,
1.057,0.000, 0.000, 0.000,0.032, 1.677, -0.048,-0.614, -0.213, 0.760,-0.135, 0.977, 0.165,,-0.132, 0.972, 0.195,-0.132, 0.972, 0.195,-2.296, 1.181, 1.908,0.025, 1.342, 0.415,4.181, 336.886, 91.748,-0.155, 1.319, 0.350,2.486, 359.377, 279.870,null,null,null,,0.000, 0.000, 0.000,0.055, 1.171, -0.082,-0.123, 0.053, 0.991,0.024, 0.998, -0.050,,0.042, 0.999, -0.026,0.042, 0.999, -0.026,-0.750, 1.161, 2.973,-0.038, 0.672, 0.161,47.286, 45.274, 5.906,0.026, 0.716, 0.115,48.558, 318.343, 82.651,null,null,null,
1.064,0.000, 0.000, 0.000,0.032, 1.677, -0.048,-0.614, -0.213, 0.760,-0.135, 0.977, 0.165,,-0.132, 0.972, 0.195,-0.132, 0.972, 0.194,-2.296, 1.182, 1.908,0.025, 1.342, 0.415,4.182, 336.887, 91.749,-0.155, 1.319, 0.350,2.484, 359.379, 279.875,null,null,null,,0.000, 0.000, 0.000,0.055, 1.171, -0.083,-0.121, 0.051, 0.991,0.024, 0.999, -0.049,,0.042, 0.999, -0.024,0.042, 0.999, -0.025,-0.736, 1.156, 2.973,-0.038, 0.672, 0.161,47.278, 45.279, 5.906,0.026, 0.716, 0.115,48.545, 318.345, 82.653,null,null,null,
