time, U1PosX, U1PosY, U1PosZ, U1HeadX, U1HeadY, U1HeadZ, U1HeadEulerX, U1HeadEulerY, U1LocalHeadEulerZ, U1ControllerRX, U1ControllerRY, U1ControllerRZ, U1ControllerEulerRX, U1ControllerEulerRY, U1ControllerEulerRZ,U1ControllerLX, U1ControllerLY, U1ControllerLZ, U1ControllerEulerLX, U1ControllerEulerLY, U1ControllerEulerLZ,U1PointerX, U1PointerY, U1PointerZ, U1PointerVis, U1StickyPointerX, U1StickyPointerY, U1StickyPointerZ, U1StickyPointerVis,U2PosX, U2PosY, U2PosZ, U2HeadX, U2HeadY, U2HeadZ, U2HeadEulerX, U2HeadEulerY, U2LocalHeadEulerZ, U2ControllerRX, U2ControllerRY, U2ControllerRZ, U2ControllerEulerRX, U2ControllerEulerRY, U2ControllerEulerRZ,U2ControllerLX, U2ControllerLY, U2ControllerLZ, U2ControllerEulerLX, U2ControllerEulerLY, U2ControllerEulerLZ,U2PointerX, U2PointerY, U2PointerZ, U2PointerVis, U2StickyPointerX, U2StickyPointerY, U2StickyPointerZ, U2StickyPointerVis
0.000,-20457.120, 0.117, -17919.110,-20457.050, -0.160, -17919.230,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0,-1.030, -0.027, -0.079,-0.958, -0.304, -0.202,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0
0.041,-20457.120, 0.117, -17919.110,-20457.050, -0.160, -17919.230,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0,-1.030, -0.027, -0.079,-0.958, -0.304, -0.202,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0
0.080,-20457.120, 0.117, -17919.110,-20457.050, -0.160, -17919.230,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0,-1.030, -0.027, -0.079,-0.958, -0.304, -0.202,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0
0.121,-20457.120, 0.117, -17919.110,-20457.050, -0.160, -17919.230,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0,-1.030, -0.027, -0.079,-0.958, -0.304, -0.202,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0
0.159,-20457.120, 0.117, -17919.110,-20457.050, -0.160, -17919.230,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0,-1.030, -0.027, -0.079,-0.958, -0.304, -0.202,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0
0.199,-20457.120, 0.117, -17919.110,-20457.050, -0.160, -17919.230,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0,-1.030, -0.027, -0.079,-0.958, -0.304, -0.202,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0
0.240,-20457.120, 0.117, -17919.110,-20457.050, -0.160, -17919.230,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0,-1.030, -0.027, -0.079,-0.958, -0.304, -0.202,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0
0.279,-20457.120, 0.117, -17919.110,-20457.050, -0.160, -17919.230,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0,-1.030, -0.027, -0.079,-0.958, -0.304, -0.202,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0
0.321,-20457.120, 0.117, -17919.110,-20457.050, -0.160, -17919.230,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0,-1.030, -0.027, -0.079,-0.958, -0.304, -0.202,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0
0.360,-20457.120, 0.117, -17919.110,-20457.050, -0.160, -17919.230,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,-20457.120, 0.117, -17919.110,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0,-1.030, -0.027, -0.079,-0.958, -0.304, -0.202,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,-1.030, -0.027, -0.079,0.000, 180.000, 180.000,null,null,null,0,null,null,null,0
