time, U1PosX, U1PosY, U1PosZ, U1HeadX, U1HeadY, U1HeadZ, U1HeadEulerX, U1HeadEulerY, U1LocalHeadEulerZ, U1ControllerRX, U1ControllerRY, U1ControllerRZ, U1ControllerEulerRX, U1ControllerEulerRY, U1ControllerEulerRZ,U1ControllerLX, U1ControllerLY, U1ControllerLZ, U1ControllerEulerLX, U1ControllerEulerLY, U1ControllerEulerLZ,U1PointerX, U1PointerY, U1PointerZ, U1PointerVis, U1StickyPointerX, U1StickyPointerY, U1StickyPointerZ, U1StickyPointerVis, U1Speaking,U2PosX, U2PosY, U2PosZ, U2HeadX, U2HeadY, U2HeadZ, U2HeadEulerX, U2HeadEulerY, U2LocalHeadEulerZ, U2ControllerRX, U2ControllerRY, U2ControllerRZ, U2ControllerEulerRX, U2ControllerEulerRY, U2ControllerEulerRZ,U2ControllerLX, U2ControllerLY, U2ControllerLZ, U2ControllerEulerLX, U2ControllerEulerLY, U2ControllerEulerLZ,U2PointerX, U2PointerY, U2PointerZ, U2PointerVis, U2StickyPointerX, U2StickyPointerY, U2StickyPointerZ, U2StickyPointerVis, U2Speaking
0.000,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.773, 20.492, 1.400,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.041,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.779, 20.487, 1.402,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.079,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.769, 20.489, 1.398,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.819, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.119,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.775, 20.487, 1.399,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.160,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.776, 20.485, 1.399,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.199,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.776, 20.485, 1.399,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.242,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.776, 20.486, 1.401,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.281,0.000, -0.027, 0.000,0.762, 0.829, 0.147,356.785, 20.490, 1.403,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.320,0.000, -0.027, 0.000,0.762, 0.829, 0.147,356.779, 20.481, 1.402,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.819, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.360,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.783, 20.481, 1.404,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.402,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.792, 20.484, 1.403,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.440,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.784, 20.484, 1.397,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.479,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.785, 20.479, 1.400,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.522,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.783, 20.475, 1.398,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.819, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.073, -0.304, -0.123,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
