time, U1PosX, U1PosY, U1PosZ, U1HeadX, U1HeadY, U1HeadZ, U1HeadEulerX, U1HeadEulerY, U1LocalHeadEulerZ, U1ControllerRX, U1ControllerRY, U1ControllerRZ, U1ControllerEulerRX, U1ControllerEulerRY, U1ControllerEulerRZ,U1ControllerLX, U1ControllerLY, U1ControllerLZ, U1ControllerEulerLX, U1ControllerEulerLY, U1ControllerEulerLZ,U1PointerX, U1PointerY, U1PointerZ, U1PointerVis, U1StickyPointerX, U1StickyPointerY, U1StickyPointerZ, U1StickyPointerVis, U1SpeakingU2PosX, U2PosY, U2PosZ, U2HeadX, U2HeadY, U2HeadZ, U2HeadEulerX, U2HeadEulerY, U2LocalHeadEulerZ, U2ControllerRX, U2ControllerRY, U2ControllerRZ, U2ControllerEulerRX, U2ControllerEulerRY, U2ControllerEulerRZ,U2ControllerLX, U2ControllerLY, U2ControllerLZ, U2ControllerEulerLX, U2ControllerEulerLY, U2ControllerEulerLZ,U2PointerX, U2PointerY, U2PointerZ, U2PointerVis, U2StickyPointerX, U2StickyPointerY, U2StickyPointerZ, U2StickyPointerVis, U2Speaking
0.000,0.000, -0.027, 0.000,-0.382, 0.816, 0.444,354.800, 342.863, 359.788,-0.495, 0.786, 0.693,15.262, 9.465, 55.058,-0.618, 0.786, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.040,0.000, -0.027, 0.000,-0.382, 0.816, 0.444,354.799, 342.868, 359.786,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.078,0.000, -0.027, 0.000,-0.382, 0.817, 0.444,354.799, 342.869, 359.788,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.121,0.000, -0.027, 0.000,-0.382, 0.817, 0.444,354.797, 342.865, 359.788,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.160,0.000, -0.027, 0.000,-0.382, 0.816, 0.444,354.792, 342.866, 359.791,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.199,0.000, -0.027, 0.000,-0.382, 0.816, 0.444,354.794, 342.867, 359.793,-0.495, 0.786, 0.692,15.262, 9.465, 55.059,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.238,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.798, 342.868, 359.787,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.245, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.280,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.802, 342.867, 359.788,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.320,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.799, 342.866, 359.788,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
0.359,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.801, 342.865, 359.789,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.000, -0.039, 0.050,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,0.000, -0.027, 0.000,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0
