time, U1PosX,U1PosY,U1PosZ,U1HeadX,U1HeadY,U1HeadZ,U1HeadForwardX,U1HeadForwardY,U1LocalHeadForwardZ,U1HeadCone,U1HeadConeVisibility,U1OtherHeadConeVisibility,U1ControllerRX,U1ControllerRY,U1ControllerRZ,U1ControllerEulerRX,U1ControllerEulerRY,U1ControllerEulerRZ,U1ControllerLX,U1ControllerLY,U1ControllerLZ,U1ControllerEulerLX,U1ControllerEulerLY,U1ControllerEulerLZ,U1PointerX,U1PointerY,U1PointerZ,U1PointerVis,U1StickyPointerX,U1StickyPointerY,U1StickyPointerZ,U1StickyPointerVis,U1Speaking,U1InsightRecording,U2PosX,U2PosY,U2PosZ,U2HeadX,U2HeadY,U2HeadZ,U2HeadForwardX,U2HeadForwardY,U2LocalHeadForwardZ,U2HeadCone,U2HeadConeVisibility,U2OtherHeadConeVisibility,U2ControllerRX,U2ControllerRY,U2ControllerRZ,U2ControllerEulerRX,U2ControllerEulerRY,U2ControllerEulerRZ,U2ControllerLX,U2ControllerLY,U2ControllerLZ,U2ControllerEulerLX,U2ControllerEulerLY,U2ControllerEulerLZ,U2PointerX,U2PointerY,U2PointerZ,U2PointerVis,U2StickyPointerX,U2StickyPointerY,U2StickyPointerZ,U2StickyPointerVis,U2Speaking,U2InsightRecording
0.000,0.000, -0.027, 0.000,0.424, 0.825, 0.378,-0.992, 0.057, -0.116,0.501; 0.719:0.504; 0.488:0.513; 0.287:0.526; 0.134:0.542; 0.035:0.559; 0.015:0.577; 0.002:0.594; 0.073:0.609; 0.207:0.621; 0.404:0.626; 0.649:0.622; 0.899:0.612; 0.982:0.597; 0.982:0.580; 0.982:0.563; 0.982:0.546; 0.982:0.530; 0.982:0.516; 0.982:0.506; 0.944:,1,1,0.236, 0.784, 0.509,14.744, 355.067, 57.334,0.110, 0.778, 0.563,17.291, 346.470, 306.986,null,null,null,0,null,null,null,1,0,0,0.042, -0.027, -0.588,0.114, -0.304, -0.711,0.000, 0.000, -1.000,0.180; 0.015:0.179; 0.015:0.185; 0.015:0.199; 0.015:0.220; 0.015:0.249; 0.015:0.278; 0.015:0.303; 0.015:0.322; 0.015:0.333; 0.015:0.336; 0.015:0.329; 0.015:0.317; 0.015:0.300; 0.015:0.282; 0.015:0.263; 0.015:0.242; 0.015:0.222; 0.015:0.204; 0.015:0.189; 0.015:,1,1,0.042, -0.027, -0.588,0.000, 180.000, 180.000,0.042, -0.027, -0.588,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0,0
0.158,0.000, -0.027, 0.000,0.424, 0.825, 0.378,-0.992, 0.057, -0.116,0.501; 0.719:0.504; 0.488:0.513; 0.287:0.526; 0.134:0.542; 0.035:0.559; 0.015:0.577; 0.002:0.594; 0.073:0.609; 0.207:0.621; 0.404:0.626; 0.649:0.622; 0.899:0.612; 0.982:0.597; 0.982:0.580; 0.982:0.563; 0.982:0.546; 0.982:0.530; 0.982:0.516; 0.982:0.506; 0.944:,1,1,0.236, 0.784, 0.509,14.744, 355.067, 57.334,0.110, 0.778, 0.563,17.291, 346.470, 306.986,null,null,null,0,null,null,null,1,0,0,0.042, -0.027, -0.588,0.114, -0.304, -0.711,0.000, 0.000, -1.000,0.180; 0.015:0.179; 0.015:0.185; 0.015:0.199; 0.015:0.220; 0.015:0.249; 0.015:0.278; 0.015:0.303; 0.015:0.322; 0.015:0.333; 0.015:0.336; 0.015:0.329; 0.015:0.317; 0.015:0.300; 0.015:0.282; 0.015:0.263; 0.015:0.242; 0.015:0.222; 0.015:0.204; 0.015:0.189; 0.015:,1,1,0.042, -0.027, -0.588,0.000, 180.000, 180.000,0.042, -0.027, -0.588,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0,0
0.183,0.000, -0.027, 0.000,0.424, 0.825, 0.378,-0.992, 0.057, -0.116,0.501; 0.719:0.504; 0.488:0.513; 0.287:0.526; 0.134:0.542; 0.035:0.559; 0.015:0.577; 0.001:0.594; 0.072:0.609; 0.207:0.621; 0.404:0.626; 0.649:0.622; 0.899:0.612; 0.982:0.597; 0.982:0.580; 0.982:0.563; 0.982:0.546; 0.982:0.530; 0.982:0.516; 0.982:0.506; 0.944:,1,1,0.236, 0.784, 0.509,14.744, 355.067, 57.334,0.110, 0.778, 0.563,17.291, 346.470, 306.986,null,null,null,0,null,null,null,1,0,0,0.042, -0.027, -0.588,0.114, -0.304, -0.711,0.000, 0.000, -1.000,0.158; 0.015:0.157; 0.015:0.163; 0.015:0.176; 0.015:0.196; 0.015:0.221; 0.015:0.250; 0.015:0.275; 0.015:0.294; 0.015:0.305; 0.015:0.308; 0.015:0.303; 0.015:0.290; 0.015:0.274; 0.015:0.256; 0.015:0.235; 0.015:0.215; 0.015:0.197; 0.015:0.180; 0.015:0.167; 0.015:,1,1,0.042, -0.027, -0.588,0.000, 180.000, 180.000,0.042, -0.027, -0.588,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0,0
0.197,0.000, -0.027, 0.000,0.424, 0.825, 0.378,-0.992, 0.057, -0.116,0.501; 0.719:0.504; 0.488:0.513; 0.287:0.526; 0.134:0.542; 0.035:0.559; 0.015:0.577; 0.001:0.594; 0.072:0.609; 0.206:0.621; 0.404:0.626; 0.649:0.622; 0.898:0.612; 0.982:0.597; 0.982:0.580; 0.982:0.563; 0.982:0.546; 0.982:0.530; 0.982:0.516; 0.982:0.506; 0.944:,1,1,0.236, 0.784, 0.509,14.744, 355.067, 57.334,0.110, 0.778, 0.563,17.291, 346.470, 306.986,null,null,null,0,null,null,null,1,0,0,0.042, -0.027, -0.588,0.114, -0.304, -0.711,0.000, 0.000, -1.000,0.158; 0.015:0.157; 0.015:0.163; 0.015:0.176; 0.015:0.196; 0.015:0.221; 0.015:0.250; 0.015:0.275; 0.015:0.294; 0.015:0.305; 0.015:0.308; 0.015:0.303; 0.015:0.290; 0.015:0.274; 0.015:0.256; 0.015:0.235; 0.015:0.215; 0.015:0.197; 0.015:0.180; 0.015:0.167; 0.015:,1,1,0.042, -0.027, -0.588,0.000, 180.000, 180.000,0.042, -0.027, -0.588,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0,0
0.256,0.000, -0.027, 0.000,0.424, 0.825, 0.378,-0.992, 0.057, -0.116,0.501; 0.719:0.504; 0.487:0.513; 0.287:0.526; 0.134:0.542; 0.035:0.559; 0.015:0.577; 0.001:0.594; 0.072:0.609; 0.206:0.621; 0.403:0.626; 0.649:0.622; 0.898:0.612; 0.982:0.597; 0.982:0.580; 0.982:0.563; 0.982:0.546; 0.982:0.530; 0.982:0.516; 0.982:0.506; 0.944:,1,1,0.236, 0.784, 0.509,14.744, 355.067, 57.334,0.110, 0.778, 0.563,17.291, 346.470, 306.986,null,null,null,0,null,null,null,1,0,0,0.042, -0.027, -0.588,0.114, -0.304, -0.711,0.000, 0.000, -1.000,0.158; 0.015:0.157; 0.015:0.163; 0.015:0.176; 0.015:0.196; 0.015:0.221; 0.015:0.250; 0.015:0.275; 0.015:0.294; 0.015:0.305; 0.015:0.308; 0.015:0.303; 0.015:0.290; 0.015:0.274; 0.015:0.256; 0.015:0.235; 0.015:0.215; 0.015:0.197; 0.015:0.180; 0.015:0.167; 0.015:,1,1,0.042, -0.027, -0.588,0.000, 180.000, 180.000,0.042, -0.027, -0.588,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0,0
0.294,0.000, -0.027, 0.000,0.424, 0.825, 0.378,-0.992, 0.057, -0.116,0.501; 0.719:0.504; 0.487:0.513; 0.286:0.526; 0.134:0.542; 0.035:0.559; 0.015:0.577; 0.001:0.594; 0.072:0.609; 0.206:0.621; 0.404:0.626; 0.649:0.622; 0.898:0.612; 0.982:0.597; 0.982:0.580; 0.982:0.563; 0.982:0.546; 0.982:0.530; 0.982:0.516; 0.982:0.506; 0.944:,1,1,0.236, 0.784, 0.509,14.744, 355.067, 57.334,0.110, 0.778, 0.563,17.291, 346.470, 306.986,null,null,null,0,null,null,null,1,0,0,0.042, -0.027, -0.588,0.114, -0.304, -0.711,0.000, 0.000, -1.000,0.151; 0.015:0.149; 0.015:0.156; 0.015:0.169; 0.015:0.189; 0.015:0.213; 0.015:0.241; 0.015:0.267; 0.015:0.286; 0.015:0.298; 0.015:0.300; 0.015:0.294; 0.015:0.282; 0.015:0.265; 0.015:0.246; 0.015:0.226; 0.015:0.206; 0.015:0.189; 0.015:0.172; 0.015:0.159; 0.015:,1,1,0.042, -0.027, -0.588,0.000, 180.000, 180.000,0.042, -0.027, -0.588,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0,0
0.333,0.000, -0.027, 0.000,0.424, 0.825, 0.378,-0.992, 0.057, -0.116,0.501; 0.719:0.504; 0.488:0.513; 0.287:0.526; 0.134:0.542; 0.035:0.559; 0.015:0.577; 0.002:0.594; 0.072:0.609; 0.207:0.621; 0.404:0.626; 0.649:0.622; 0.899:0.612; 0.982:0.597; 0.982:0.580; 0.982:0.563; 0.982:0.546; 0.982:0.530; 0.982:0.516; 0.982:0.506; 0.944:,1,1,0.236, 0.784, 0.509,14.744, 355.067, 57.334,0.110, 0.778, 0.563,17.291, 346.470, 306.986,null,null,null,0,null,null,null,1,0,0,0.042, -0.027, -0.588,0.114, -0.304, -0.711,0.000, 0.000, -1.000,0.151; 0.015:0.150; 0.015:0.156; 0.015:0.170; 0.015:0.189; 0.015:0.214; 0.015:0.242; 0.015:0.269; 0.015:0.287; 0.015:0.299; 0.015:0.301; 0.015:0.295; 0.015:0.283; 0.015:0.266; 0.015:0.247; 0.015:0.226; 0.015:0.207; 0.015:0.189; 0.015:0.173; 0.015:0.160; 0.015:,1,1,0.042, -0.027, -0.588,0.000, 180.000, 180.000,0.042, -0.027, -0.588,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0,0
0.373,0.000, -0.027, 0.000,0.424, 0.825, 0.378,-0.992, 0.057, -0.116,0.501; 0.719:0.504; 0.488:0.513; 0.287:0.526; 0.135:0.542; 0.035:0.559; 0.015:0.577; 0.002:0.594; 0.073:0.609; 0.207:0.621; 0.404:0.626; 0.649:0.622; 0.899:0.612; 0.982:0.597; 0.982:0.580; 0.982:0.563; 0.982:0.546; 0.982:0.530; 0.982:0.516; 0.982:0.506; 0.945:,1,1,0.236, 0.784, 0.509,14.744, 355.067, 57.334,0.110, 0.778, 0.563,17.291, 346.470, 306.986,null,null,null,0,null,null,null,1,0,0,0.042, -0.027, -0.588,0.114, -0.304, -0.711,0.000, 0.000, -1.000,0.154; 0.015:0.153; 0.015:0.159; 0.015:0.173; 0.015:0.193; 0.015:0.218; 0.015:0.247; 0.015:0.273; 0.015:0.291; 0.015:0.302; 0.015:0.304; 0.015:0.298; 0.015:0.285; 0.015:0.269; 0.015:0.250; 0.015:0.229; 0.015:0.209; 0.015:0.192; 0.015:0.175; 0.015:0.162; 0.015:,1,1,0.042, -0.027, -0.588,0.000, 180.000, 180.000,0.042, -0.027, -0.588,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0,0
0.413,0.000, -0.027, 0.000,0.424, 0.825, 0.378,-0.992, 0.057, -0.116,0.501; 0.719:0.504; 0.488:0.513; 0.287:0.526; 0.135:0.542; 0.035:0.559; 0.015:0.577; 0.002:0.594; 0.073:0.609; 0.207:0.621; 0.404:0.626; 0.649:0.622; 0.899:0.612; 0.982:0.597; 0.982:0.580; 0.982:0.563; 0.982:0.546; 0.982:0.530; 0.982:0.516; 0.982:0.506; 0.945:,1,1,0.236, 0.784, 0.509,14.744, 355.067, 57.334,0.110, 0.778, 0.563,17.291, 346.470, 306.986,null,null,null,0,null,null,null,1,0,0,0.042, -0.027, -0.588,0.114, -0.304, -0.711,0.000, 0.000, -1.000,0.154; 0.015:0.153; 0.015:0.159; 0.015:0.173; 0.015:0.193; 0.015:0.218; 0.015:0.247; 0.015:0.273; 0.015:0.291; 0.015:0.302; 0.015:0.304; 0.015:0.298; 0.015:0.285; 0.015:0.269; 0.015:0.250; 0.015:0.229; 0.015:0.209; 0.015:0.192; 0.015:0.175; 0.015:0.162; 0.015:,1,1,0.042, -0.027, -0.588,0.000, 180.000, 180.000,0.042, -0.027, -0.588,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0,0
0.453,0.000, -0.027, 0.000,0.424, 0.825, 0.378,-0.992, 0.057, -0.116,0.501; 0.719:0.504; 0.488:0.513; 0.287:0.526; 0.135:0.542; 0.035:0.559; 0.015:0.577; 0.002:0.594; 0.073:0.609; 0.207:0.621; 0.404:0.626; 0.649:0.622; 0.899:0.612; 0.982:0.597; 0.982:0.580; 0.982:0.563; 0.982:0.546; 0.982:0.530; 0.982:0.516; 0.982:0.506; 0.945:,1,1,0.236, 0.784, 0.509,14.744, 355.067, 57.334,0.110, 0.778, 0.563,17.291, 346.470, 306.986,null,null,null,0,null,null,null,1,0,0,0.042, -0.027, -0.588,0.114, -0.304, -0.711,0.000, 0.000, -1.000,0.156; 0.015:0.155; 0.015:0.161; 0.015:0.175; 0.015:0.196; 0.015:0.221; 0.015:0.250; 0.015:0.275; 0.015:0.294; 0.015:0.304; 0.015:0.306; 0.015:0.300; 0.015:0.287; 0.015:0.271; 0.015:0.252; 0.015:0.231; 0.015:0.211; 0.015:0.193; 0.015:0.177; 0.015:0.164; 0.015:,1,1,0.042, -0.027, -0.588,0.000, 180.000, 180.000,0.042, -0.027, -0.588,0.000, 180.000, 180.000,null,null,null,0,null,null,null,1,0,0
